t,Step,AgentID,geometry,speed,x,y
2025-09-02 13:48:57.984431,0,0,POINT (250.19575278361827 90.02901168407732),0.010000000000001645,250.19575278361827,90.02901168407732
2025-09-02 13:48:58.984431,1,0,POINT (250.20213161735433 90.03671301384352),0.010000000000001645,250.20213161735433,90.03671301384352
2025-09-02 13:48:59.984431,2,0,POINT (250.20892417296795 90.04536524986872),0.010999999999999644,250.20892417296795,90.04536524986872
2025-09-02 13:49:00.984431,3,0,POINT (250.21633423363738 90.05480405280531),0.01200000000001325,250.21633423363738,90.05480405280531
2025-09-02 13:49:01.984431,4,0,POINT (250.22436179936258 90.06502942265327),0.012999999999998128,250.22436179936258,90.06502942265327
2025-09-02 13:49:02.984431,5,0,POINT (250.23300687014356 90.07604135941261),0.013999999999994182,250.23300687014356,90.07604135941261
2025-09-02 13:49:03.984431,6,0,POINT (250.24226944598033 90.08783986308333),0.01499999999999661,250.24226944598033,90.08783986308333
2025-09-02 13:49:04.984431,7,0,POINT (250.25214952687287 90.10042493366544),0.015999999999992666,250.25214952687287,90.10042493366544
2025-09-02 13:49:05.984431,8,0,POINT (250.2626471128212 90.11379657115893),0.01700000000000627,250.2626471128212,90.11379657115893
2025-09-02 13:49:06.984431,9,0,POINT (250.27376220382533 90.1279547755638),0.017999999999991148,250.27376220382533,90.1279547755638
2025-09-02 13:49:07.984431,10,0,POINT (250.28549479988524 90.14289954688005),0.019000000000004753,250.28549479988524,90.14289954688005
2025-09-02 13:49:08.984431,11,0,POINT (250.29784490100093 90.15863088510768),0.020000000000000805,250.29784490100093,90.15863088510768
2025-09-02 13:49:09.984431,12,0,POINT (250.31081250717241 90.1751487902467),0.021000000000003235,250.31081250717241,90.1751487902467
2025-09-02 13:49:10.984431,13,0,POINT (250.32439761839967 90.1924532622971),0.021999999999999287,250.32439761839967,90.1924532622971
2025-09-02 13:49:11.984431,14,0,POINT (250.33860023468273 90.21054430125888),0.023000000000012896,250.33860023468273,90.21054430125888
2025-09-02 13:49:12.984431,15,0,POINT (250.35342035602156 90.22942190713204),0.02399999999999777,250.35342035602156,90.22942190713204
2025-09-02 13:49:13.984431,16,0,POINT (250.36833794429268 90.24948345144382),0.025000000000007502,250.36833794429268,90.24948345144382
2025-09-02 13:49:14.984431,17,0,POINT (250.38330076372554 90.27074642476882),0.025999999999999846,250.38330076372554,90.27074642476882
2025-09-02 13:49:15.984431,18,0,POINT (250.3982557441855 90.29322638383113),0.027000000000009402,250.3982557441855,90.29322638383113
2025-09-02 13:49:16.984431,19,0,POINT (250.41314904688878 90.31693692019343),0.027999999999994873,250.41314904688878,90.31693692019343
2025-09-02 13:49:17.984431,20,0,POINT (250.42792613117504 90.34188963106813),0.028999999999996265,250.42792613117504,90.34188963106813
2025-09-02 13:49:18.984431,21,0,POINT (250.44253182227075 90.36809409228405),0.03000000000000434,250.44253182227075,90.36809409228405
2025-09-02 13:49:19.984431,22,0,POINT (250.45691037997634 90.39555783344048),0.030999999999997935,250.45691037997634,90.39555783344048
2025-09-02 13:49:20.984431,23,0,POINT (250.47100556820897 90.42428631527795),0.03199999999999161,250.47100556820897,90.42428631527795
2025-09-02 13:49:21.984431,24,0,POINT (250.4847607253317 90.45428290929341),0.0329999999999939,250.4847607253317,90.45428290929341
2025-09-02 13:49:22.984431,25,0,POINT (250.49811883519905 90.48554887962494),0.03400000000000246,250.49811883519905,90.48554887962494
2025-09-02 13:49:23.984431,26,0,POINT (250.511022598848 90.51808336722952),0.03500000000000667,250.511022598848,90.51808336722952
2025-09-02 13:49:24.984431,27,0,POINT (250.5234145067635 90.5518833763747),0.036000000000003536,250.5234145067635,90.5518833763747
2025-09-02 13:49:25.984431,28,0,POINT (250.5361506343433 90.5866222746628),0.0370000000000007,250.5361506343433,90.5866222746628
2025-09-02 13:49:26.984431,29,0,POINT (250.5492309815874 90.62230006209383),0.038000000000001415,250.5492309815874,90.62230006209383
2025-09-02 13:49:27.984431,30,0,POINT (250.56265554849585 90.65891673866777),0.03899999999999857,250.56265554849585,90.65891673866777
2025-09-02 13:49:28.984431,31,0,POINT (250.57642433506862 90.69647230438463),0.039999999999995726,250.57642433506862,90.69647230438463
2025-09-02 13:49:29.984431,32,0,POINT (250.59053734130572 90.73496675924441),0.04100000000000623,250.59053734130572,90.73496675924441
2025-09-02 13:49:30.984431,33,0,POINT (250.60499456720711 90.77440010324712),0.041999999999993605,250.60499456720711,90.77440010324712
2025-09-02 13:49:31.984431,34,0,POINT (250.61979601277284 90.81477233639275),0.043000000000004104,250.61979601277284,90.81477233639275
2025-09-02 13:49:32.984431,35,0,POINT (250.6349416780029 90.8560834586813),0.04400000000000127,250.6349416780029,90.8560834586813
2025-09-02 13:49:33.984431,36,0,POINT (250.65043156289724 90.89833347011277),0.045000000000001976,250.65043156289724,90.89833347011277
2025-09-02 13:49:34.984431,37,0,POINT (250.66626566745592 90.94152237068717),0.04599999999999914,250.66626566745592,90.94152237068717
2025-09-02 13:49:35.984431,38,0,POINT (250.68244399167892 90.98565016040448),0.046999999999996295,250.68244399167892,90.98565016040448
2025-09-02 13:49:36.984431,39,0,POINT (250.69896653556623 91.03071683926471),0.04799999999999701,250.69896653556623,91.03071683926471
2025-09-02 13:49:37.984431,40,0,POINT (250.71821792919857 91.07577662003662),0.048999999999998815,250.71821792919857,91.07577662003662
2025-09-02 13:49:38.984431,41,0,POINT (250.74024166081207 91.12066487290768),0.04999999999999872,250.74024166081207,91.12066487290768
2025-09-02 13:49:39.984431,42,0,POINT (250.76507133567475 91.16521245697476),0.05099999999999202,250.76507133567475,91.16521245697476
2025-09-02 13:49:40.984431,43,0,POINT (250.7927303264094 91.20924631021904),0.05199999999999647,250.7927303264094,91.20924631021904
2025-09-02 13:49:41.984431,44,0,POINT (250.8220863991641 91.25337363726727),0.05300000000000343,250.8220863991641,91.25337363726727
2025-09-02 13:49:42.984431,45,0,POINT (250.8531630241401 91.29753519724994),0.054000000000005835,250.8531630241401,91.29753519724994
2025-09-02 13:49:43.984431,46,0,POINT (250.88598171833652 91.34167059473586),0.05499999999999153,250.88598171833652,91.34167059473586
2025-09-02 13:49:44.984431,47,0,POINT (250.92056200146047 91.38571834177323),0.056000000000000646,250.92056200146047,91.38571834177323
2025-09-02 13:49:45.984431,48,0,POINT (250.95692135375592 91.42961592144063),0.0570000000000037,250.95692135375592,91.42961592144063
2025-09-02 13:49:46.984431,49,0,POINT (250.99507517580125 91.47329985284948),0.05799999999999912,250.99507517580125,91.47329985284948
2025-09-02 13:49:47.984431,50,0,POINT (251.03503675032144 91.51670575753845),0.059000000000004334,251.03503675032144,91.51670575753845
2025-09-02 13:49:48.984431,51,0,POINT (251.07681720606038 91.55976842719845),0.060000000000003655,251.07681720606038,91.55976842719845
2025-09-02 13:49:49.984431,52,0,POINT (251.1204254837566 91.60242189266573),0.06099999999999565,251.1204254837566,91.60242189266573
2025-09-02 13:49:50.984431,53,0,POINT (251.16474865125113 91.64577459527182),0.06199999999999564,251.16474865125113,91.64577459527182
2025-09-02 13:49:51.984431,54,0,POINT (251.20978670854396 91.6898265350167),0.06299999999999564,251.20978670854396,91.6898265350167
2025-09-02 13:49:52.984431,55,0,POINT (251.2555396556351 91.73457771190041),0.06400000000000557,251.2555396556351,91.73457771190041
2025-09-02 13:49:53.984431,56,0,POINT (251.30080181601895 91.78122893736543),0.06500000000001077,251.30080181601895,91.78122893736543
