t,Step,AgentID,geometry,speed,x,y
2025-09-04 09:42:25.118133,0,0,POINT (-4.589747231778054 48.28432352295695),5.888168977219241e-07,-4.589747231778054,48.28432352295695
2025-09-04 09:42:26.118133,1,0,POINT (-4.5897477638863995 48.28432377508003),5.888168977219241e-07,-4.5897477638863995,48.28432377508003
2025-09-04 09:42:27.118133,2,0,POINT (-4.589748812534493 48.28432428884339),1.1677395322797137e-06,-4.589748812534493,48.28432428884339
2025-09-04 09:42:28.118133,3,0,POINT (-4.58975035224953 48.284325079934796),1.7310540148996232e-06,-4.58975035224953,48.284325079934796
2025-09-04 09:42:29.118133,4,0,POINT (-4.589752376203362 48.28432615284132),2.2907460604662287e-06,-4.589752376203362,48.28432615284132
2025-09-04 09:42:30.118133,5,0,POINT (-4.589754939313559 48.28432747399183),2.8835694132405016e-06,-4.589754939313559,48.28432747399183
2025-09-04 09:42:31.118133,6,0,POINT (-4.589758017088008 48.284329058834814),3.4618525164915247e-06,-4.589758017088008,48.284329058834814
2025-09-04 09:42:32.118133,7,0,POINT (-4.589761587601103 48.2843309217042),4.027262857490058e-06,-4.589761587601103,48.2843309217042
2025-09-04 09:42:33.118133,8,0,POINT (-4.589765689581611 48.28433303885024),4.616118655257134e-06,-4.589765689581611,48.28433303885024
2025-09-04 09:42:34.118133,9,0,POINT (-4.589770342613345 48.284335398230986),5.217028063424523e-06,-4.589770342613345,48.284335398230986
2025-09-04 09:42:35.118133,10,0,POINT (-4.589775553238531 48.28433799601893),5.822294823102098e-06,-4.589775553238531,48.28433799601893
2025-09-04 09:42:36.118133,11,0,POINT (-4.58978132147267 48.28434083273255),6.428022190738168e-06,-4.58978132147267,48.28434083273255
2025-09-04 09:42:37.118133,12,0,POINT (-4.589787686588564 48.2843438824627),7.0580134818724966e-06,-4.589787686588564,48.2843438824627
2025-09-04 09:42:38.118133,13,0,POINT (-4.589794635612744 48.28434715423303),7.680717294670322e-06,-4.589794635612744,48.28434715423303
2025-09-04 09:42:39.118133,14,0,POINT (-4.5898021855362945 48.284350636466854),8.314282771735459e-06,-4.5898021855362945,48.284350636466854
2025-09-04 09:42:40.118133,15,0,POINT (-4.5898103267424775 48.284354312917024),8.932834038914428e-06,-4.5898103267424775,48.284354312917024
2025-09-04 09:42:41.118133,16,0,POINT (-4.589817981371048 48.284357737471396),8.385756447130863e-06,-4.589817981371048,48.284357737471396
2025-09-04 09:42:42.118133,17,0,POINT (-4.589825144021253 48.28436092201482),7.83867812719823e-06,-4.589825144021253,48.28436092201482
2025-09-04 09:42:43.118133,18,0,POINT (-4.5898317809900275 48.284363898354876),7.273785441202532e-06,-4.5898317809900275,48.284363898354876
2025-09-04 09:42:44.118133,19,0,POINT (-4.589837912988343 48.284366675418966),6.731529417463436e-06,-4.589837912988343,48.284366675418966
2025-09-04 09:42:45.118133,20,0,POINT (-4.589843538780683 48.284369253318005),6.18830371858874e-06,-4.589843538780683,48.284369253318005
2025-09-04 09:42:46.118133,21,0,POINT (-4.589848669282992 48.2843716470211),5.661436960804562e-06,-4.589848669282992,48.2843716470211
2025-09-04 09:42:47.118133,22,0,POINT (-4.589853297392058 48.28437387474792),5.136356715130219e-06,-4.589853297392058,48.28437387474792
2025-09-04 09:42:48.118133,23,0,POINT (-4.589857426222391 48.28437594149126),4.617214307070941e-06,-4.589857426222391,48.28437594149126
2025-09-04 09:42:49.118133,24,0,POINT (-4.589861054853595 48.284377858586076),4.103927014669909e-06,-4.589861054853595,48.284377858586076
2025-09-04 09:42:50.118133,25,0,POINT (-4.589864204074633 48.28437962290251),3.609765315657605e-06,-4.589864204074633,48.28437962290251
2025-09-04 09:42:51.118133,26,0,POINT (-4.589866879820986 48.284381235704686),3.1242198051864834e-06,-4.589866879820986,48.284381235704686
2025-09-04 09:42:52.118133,27,0,POINT (-4.589869112824887 48.28438268844007),2.663971943811252e-06,-4.589869112824887,48.28438268844007
2025-09-04 09:42:53.118133,28,0,POINT (-4.58987088978568 48.28438401177765),2.2155838970221397e-06,-4.58987088978568,48.28438401177765
2025-09-04 09:42:54.118133,29,0,POINT (-4.589872182559297 48.284385221096855),1.7702306551861426e-06,-4.589872182559297,48.284385221096855
2025-09-04 09:42:55.118133,30,0,POINT (-4.58987299332119 48.284386326556735),1.3709034954709481e-06,-4.58987299332119,48.284386326556735
2025-09-04 09:42:56.118133,31,0,POINT (-4.589873361523723 48.28438731095864),1.0510091438659199e-06,-4.589873361523723,48.28438731095864
2025-09-04 09:42:57.118133,32,0,POINT (-4.589874074486999 48.28438845102394),1.3446432698096904e-06,-4.589874074486999,48.28438845102394
2025-09-04 09:42:58.118133,33,0,POINT (-4.589875172327957 48.28438970912989),1.6697560729194856e-06,-4.589875172327957,48.28438970912989
2025-09-04 09:42:59.118133,34,0,POINT (-4.589876602433466 48.284391100109694),1.9950003964239227e-06,-4.589876602433466,48.284391100109694
