t,Step,AgentID,v,speed,x,y,is_anomaly,anomaly_type,traj_id,geometry
2025-10-07 10:30:48.861075,120,1048,0.4029461245860422,1.3061083827171551,-4.593130241267628,48.283066014316574,False,n/a,1048,POINT (-4.593130241267628 48.283066014316574)
2025-10-07 10:30:58.861075,130,1048,0.5029461245860423,1.6706415392031215,-4.592933560385753,48.28313909425449,False,n/a,1048,POINT (-4.592933560385753 48.28313909425449)
2025-10-07 10:31:08.861075,140,1048,0.6029461245860424,2.0334974933844405,-4.5926971108359975,48.28323149489269,False,n/a,1048,POINT (-4.5926971108359975 48.28323149489269)
2025-10-07 10:31:18.861075,150,1048,0.3391925663409108,1.734132843429744,-4.5924990831603925,48.28331427365386,False,n/a,1048,POINT (-4.5924990831603925 48.28331427365386)
2025-10-07 10:31:28.861075,160,1048,0.4391925663409108,1.4358865151619322,-4.592335113271557,48.28338281571105,False,n/a,1048,POINT (-4.592335113271557 48.28338281571105)
2025-10-07 10:31:38.861075,170,1048,0.539192566340911,1.8022838618899448,-4.592116259016279,48.28345305812673,False,n/a,1048,POINT (-4.592116259016279 48.28345305812673)
2025-10-07 10:31:48.861075,180,1048,0.639192566340911,2.1714111736620203,-4.591849313982729,48.283532994875614,False,n/a,1048,POINT (-4.591849313982729 48.283532994875614)
2025-10-07 10:31:58.861075,190,1048,0.3575919195557502,2.2432577986458915,-4.591608084254951,48.28365455348607,False,n/a,1048,POINT (-4.591608084254951 48.28365455348607)
2025-10-07 10:32:08.861075,200,1048,0.2881308913038032,1.3749906791465365,-4.591462079584785,48.28373067489994,False,n/a,1048,POINT (-4.591462079584785 48.28373067489994)
2025-10-07 10:32:18.861075,210,1048,0.3881308913038033,1.245845579739272,-4.5913297881919775,48.283799646720176,False,n/a,1048,POINT (-4.5913297881919775 48.283799646720176)
2025-10-07 10:32:28.861075,220,1048,0.4881308913038034,1.6089257778956694,-4.59115894259255,48.28388871927224,False,n/a,1048,POINT (-4.59115894259255 48.28388871927224)
2025-10-07 10:32:38.861075,230,1048,0.5881308913038035,1.972004806250751,-4.590949542786503,48.2839978925561,False,n/a,1048,POINT (-4.590949542786503 48.2839978925561)
2025-10-07 10:32:48.861075,240,1048,0.6881308913038036,2.3318959512505737,-4.590708280154734,48.28413224177517,False,n/a,1048,POINT (-4.590708280154734 48.28413224177517)
2025-10-07 10:32:58.861075,250,1048,0.7881308913038036,2.693600333769207,-4.590434269648736,48.2842910956478,False,n/a,1048,POINT (-4.590434269648736 48.2842910956478)
2025-10-07 10:33:08.861075,260,1048,0.8881308913038037,3.056061081311893,-4.590123386700856,48.28447132581825,False,n/a,1048,POINT (-4.590123386700856 48.28447132581825)
2025-10-07 10:33:18.861075,270,1048,0.9881308913038038,3.4185196634781696,-4.589775631311095,48.28467293228655,False,n/a,1048,POINT (-4.589775631311095 48.28467293228655)
2025-10-07 10:33:28.861075,280,1048,1.088130891303804,3.780975822802101,-4.589391003479452,48.28489591505268,False,n/a,1048,POINT (-4.589391003479452 48.28489591505268)
2025-10-07 10:33:38.861075,290,1048,1.188130891303804,4.143429302560614,-4.588969503205928,48.28514027411664,False,n/a,1048,POINT (-4.588969503205928 48.28514027411664)
2025-10-07 10:33:48.861075,300,1048,0.8393171319557002,3.4152753871688484,-4.5886220752784,48.28534169074315,False,n/a,1048,POINT (-4.5886220752784 48.28534169074315)
2025-10-07 10:33:58.861075,310,1048,0.9393171319557004,3.2360029631133345,-4.588308262863679,48.285543746253424,False,n/a,1048,POINT (-4.588308262863679 48.285543746253424)
2025-10-07 10:34:08.861075,320,1048,1.0393171319557004,3.597835921479116,-4.587959360836615,48.28576839503661,False,n/a,1048,POINT (-4.587959360836615 48.28576839503661)
2025-10-07 10:34:18.861075,330,1048,1.1393171319557005,3.959666434397268,-4.587575369197206,48.2860156370927,False,n/a,1048,POINT (-4.587575369197206 48.2860156370927)
2025-10-07 10:34:28.861075,340,1048,0.3385491189696052,1.3881059636416686,-4.587440756348936,48.28610231074381,False,n/a,1048,POINT (-4.587440756348936 48.28610231074381)
2025-10-07 10:34:38.861075,350,1048,0.4385491189696053,1.4240106553984493,-4.58730266148871,48.28619122637028,False,n/a,1048,POINT (-4.58730266148871 48.28619122637028)
2025-10-07 10:34:48.861075,360,1048,0.2842581968247317,1.250367048794831,-4.58718140578972,48.2862692997064,False,n/a,1048,POINT (-4.58718140578972 48.2862692997064)
2025-10-07 10:34:58.861075,370,1048,0.3842581968247318,1.2275634342577113,-4.587062361403612,48.28634594923667,False,n/a,1048,POINT (-4.587062361403612 48.28634594923667)
2025-10-07 10:35:08.861075,380,1048,0.13,1.0589492591858778,-4.586963421891959,48.28641457219909,False,n/a,1048,POINT (-4.586963421891959 48.28641457219909)
2025-10-07 10:35:18.861075,390,1048,0.2300000000000001,0.6573300766586347,-4.586938547543526,48.2864713079401,False,n/a,1048,POINT (-4.586938547543526 48.2864713079401)
2025-10-07 10:35:28.861075,400,1048,0.3300000000000002,1.013761132484601,-4.586880518026621,48.286553842083,False,n/a,1048,POINT (-4.586880518026621 48.286553842083)
2025-10-07 10:35:38.861075,410,1048,0.4300000000000002,1.3815757886592024,-4.586784886146076,48.28666044340893,False,n/a,1048,POINT (-4.586784886146076 48.28666044340893)
2025-10-07 10:35:48.861075,420,1048,0.5300000000000004,1.7422718373142687,-4.586655664016687,48.28679125846081,False,n/a,1048,POINT (-4.586655664016687 48.28679125846081)
2025-10-07 10:35:58.861075,430,1048,0.2345693062440346,1.1076948879192172,-4.586572298638334,48.286873890022086,False,n/a,1048,POINT (-4.586572298638334 48.286873890022086)
2025-10-07 10:36:08.861075,440,1048,0.3345693062440347,1.040739237442236,-4.586493972320558,48.28695152687872,False,n/a,1048,POINT (-4.586493972320558 48.28695152687872)
2025-10-07 10:36:18.861075,450,1048,0.14,0.8707933900671707,-4.586428436145545,48.2870164861768,False,n/a,1048,POINT (-4.586428436145545 48.2870164861768)
2025-10-07 10:36:28.861075,460,1048,0.1906668195750405,0.5769438010445952,-4.586383530434289,48.2870588409286,False,n/a,1048,POINT (-4.586383530434289 48.2870588409286)
2025-10-07 10:36:38.861075,470,1048,0.2906668195750406,0.8843847408576314,-4.586311832806335,48.2871223707449,False,n/a,1048,POINT (-4.586311832806335 48.2871223707449)
2025-10-07 10:36:48.861075,480,1048,0.2997770327102205,1.1462318810944483,-4.586209533349278,48.287199602518285,False,n/a,1048,POINT (-4.586209533349278 48.287199602518285)
2025-10-07 10:36:58.861075,490,1048,0.3997770327102206,1.28370440802222,-4.586085043463817,48.2872797582615,False,n/a,1048,POINT (-4.586085043463817 48.2872797582615)
2025-10-07 10:37:08.861075,500,1048,0.4997770327102206,1.6455370341536004,-4.585925463966014,48.28738250727762,False,n/a,1048,POINT (-4.585925463966014 48.28738250727762)
2025-10-07 10:37:18.861075,510,1048,0.19,0.5237550138138812,-4.585870240947595,48.287411838605685,False,n/a,1048,POINT (-4.585870240947595 48.287411838605685)
2025-10-07 10:37:28.861075,520,1048,0.2900000000000001,0.895074510181928,-4.58575392318368,48.28743313096147,False,n/a,1048,POINT (-4.58575392318368 48.28743313096147)
2025-10-07 10:37:38.861075,530,1048,0.3900000000000002,1.2466282791459276,-4.585602171816858,48.28748121528109,False,n/a,1048,POINT (-4.585602171816858 48.28748121528109)
2025-10-07 10:37:48.861075,540,1048,0.192429334083787,1.0611610571822632,-4.585506431825986,48.28755210008301,False,n/a,1048,POINT (-4.585506431825986 48.28755210008301)
2025-10-07 10:37:58.861075,550,1048,0.2924293340837871,0.8880890885136299,-4.58544309940634,48.28761986643872,False,n/a,1048,POINT (-4.58544309940634 48.28761986643872)
2025-10-07 10:38:08.861075,560,1048,0.3924293340837872,1.2486879844475502,-4.585349122386542,48.28771301623332,False,n/a,1048,POINT (-4.585349122386542 48.28771301623332)
2025-10-07 10:38:18.861075,570,1048,0.1145156553302693,1.3378207761509369,-4.585242339569203,48.287809951260535,False,n/a,1048,POINT (-4.585242339569203 48.287809951260535)
2025-10-07 10:38:28.861075,580,1048,0.2145156553302694,0.6102423041695488,-4.585192866586205,48.287853788268976,False,n/a,1048,POINT (-4.585192866586205 48.287853788268976)
2025-10-07 10:38:38.861075,590,1048,0.3145156553302695,0.9702336301051524,-4.585114208698188,48.28792348543079,False,n/a,1048,POINT (-4.585114208698188 48.28792348543079)
2025-10-07 10:38:48.861075,600,1048,0.12,1.0121552389755537,-4.585032152139436,48.28799619408591,False,n/a,1048,POINT (-4.585032152139436 48.28799619408591)
2025-10-07 10:38:58.861075,610,1048,0.2200000000000001,0.6299846713203704,-4.584981078555655,48.2880414493543,False,n/a,1048,POINT (-4.584981078555655 48.2880414493543)
2025-10-07 10:39:08.861075,620,1048,0.139078172590336,0.7294545719116318,-4.584921940812251,48.28809385011124,False,n/a,1048,POINT (-4.584921940812251 48.28809385011124)
2025-10-07 10:39:18.861075,630,1048,0.2390781725903361,0.6986639349864147,-4.58486529928192,48.28814403902432,False,n/a,1048,POINT (-4.58486529928192 48.28814403902432)
