t,Step,AgentID,geometry,speed,x,y,is_anomaly,anomaly_type,traj_id
2025-09-03 15:28:51.726487,0,0,POINT (250.19575278361827 90.02901168407732),5.287993171899841e-05,250.19575278361827,90.02901168407732,False,n/a,0
2025-09-03 15:28:52.726487,1,0,POINT (250.19570032621397 90.02901835550212),5.287993171899841e-05,250.19570032621397,90.02901835550212,False,n/a,0
2025-09-03 15:28:53.726487,2,0,POINT (250.19568685525903 90.02903178770696),1.90234264074132e-05,250.19568685525903,90.02903178770696,False,n/a,0
2025-09-03 15:28:54.726487,3,0,POINT (250.19551421365617 90.02901417405376),0.0001735377878922,250.19551421365617,90.02901417405376,False,n/a,0
2025-09-03 15:28:55.726487,4,0,POINT (250.1950751196926 90.02897714160851),0.0004406528234784,250.1950751196926,90.02897714160851,False,n/a,0
2025-09-03 15:28:56.726487,5,0,POINT (250.1945981773766 90.02895198115301),0.0004776055080405,250.1945981773766,90.02895198115301,False,n/a,0
2025-09-03 15:28:57.726487,6,0,POINT (250.19399859794265 90.0289304630214),0.0005999654386773,250.19399859794265,90.0289304630214,False,n/a,0
2025-09-03 15:28:58.726487,7,0,POINT (250.19335330593395 90.02889399640742),0.0006463215844004,250.19335330593395,90.02889399640742,False,n/a,0
2025-09-03 15:28:59.726487,8,0,POINT (250.19269369926823 90.02887958920097),0.0006597639888522,250.19269369926823,90.02887958920097,False,n/a,0
2025-09-03 15:29:00.726487,9,0,POINT (250.1919576267444 90.02884052029289),0.0007371086351184,250.1919576267444,90.02884052029289,False,n/a,0
2025-09-03 15:29:01.726487,10,0,POINT (250.1911928006642 90.02879053403908),0.0007664577995717,250.1911928006642,90.02879053403908,False,n/a,0
2025-09-03 15:29:02.726487,11,0,POINT (250.1903704440258 90.02871739429155),0.0008256027273333,250.1903704440258,90.02871739429155,False,n/a,0
2025-09-03 15:29:03.726487,12,0,POINT (250.1894421115297 90.02862647874576),0.0009327737452263,250.1894421115297,90.02862647874576,False,n/a,0
2025-09-03 15:29:04.726487,13,0,POINT (250.1884864845786 90.02850735662881),0.000963022818233,250.1884864845786,90.02850735662881,False,n/a,0
2025-09-03 15:29:05.726487,14,0,POINT (250.1874711469265 90.02836439915666),0.0010253523231547,250.1874711469265,90.02836439915666,False,n/a,0
2025-09-03 15:29:06.726487,15,0,POINT (250.1863590278348 90.0282264772524),0.0011206388025722,250.1863590278348,90.0282264772524,False,n/a,0
2025-09-03 15:29:07.726487,16,0,POINT (250.18520326775996 90.0280440918652),0.001170062297524,250.18520326775996,90.0280440918652,False,n/a,0
2025-09-03 15:29:08.726487,17,0,POINT (250.18398623666016 90.02783271758543),0.0012352504944169,250.18398623666016,90.02783271758543,False,n/a,0
2025-09-03 15:29:09.726487,18,0,POINT (250.18257876137832 90.0276076418213),0.0014253581194134,250.18257876137832,90.0276076418213,False,n/a,0
2025-09-03 15:29:10.726487,19,0,POINT (250.18110782036905 90.02735780969053),0.0014920065503646,250.18110782036905,90.02735780969053,False,n/a,0
2025-09-03 15:29:11.726487,20,0,POINT (250.17956192081093 90.02709540006461),0.0015680128365491,250.17956192081093,90.02709540006461,False,n/a,0
2025-09-03 15:29:12.726487,21,0,POINT (250.1780146339388 90.02682520323886),0.0015707014322856,250.1780146339388,90.02682520323886,False,n/a,0
2025-09-03 15:29:13.726487,22,0,POINT (250.17640039297055 90.02656331812005),0.0016353463605147,250.17640039297055,90.02656331812005,False,n/a,0
2025-09-03 15:29:14.726487,23,0,POINT (250.17463305650432 90.02628855837226),0.0017885667736979,250.17463305650432,90.02628855837226,False,n/a,0
2025-09-03 15:29:15.726487,24,0,POINT (250.17271259648672 90.0260039398083),0.0019414361710215,250.17271259648672,90.0260039398083,False,n/a,0
2025-09-03 15:29:16.726487,25,0,POINT (250.17083752271344 90.02571753391902),0.0018968210217753,250.17083752271344,90.02571753391902,False,n/a,0
2025-09-03 15:29:17.726487,26,0,POINT (250.1688773609065 90.02541132787404),0.0019839345884611,250.1688773609065,90.02541132787404,False,n/a,0
2025-09-03 15:29:18.726487,27,0,POINT (250.1668139563952 90.02507622069892),0.0020904389481983,250.1668139563952,90.02507622069892,False,n/a,0
2025-09-03 15:29:19.726487,28,0,POINT (250.16464284300167 90.02471467159066),0.0022010113868969,250.16464284300167,90.02471467159066,False,n/a,0
2025-09-03 15:29:20.726487,29,0,POINT (250.1623220453193 90.02433433581788),0.0023517561911245,250.1623220453193,90.02433433581788,False,n/a,0
2025-09-03 15:29:21.726487,30,0,POINT (250.1599525514177 90.02396131301893),0.0023986761679128,250.1599525514177,90.02396131301893,False,n/a,0
2025-09-03 15:29:22.726487,31,0,POINT (250.1574360026984 90.02357240599572),0.0025464222213206,250.1574360026984,90.02357240599572,False,n/a,0
2025-09-03 15:29:23.726487,32,0,POINT (250.15478722929905 90.02314278309011),0.0026833889695722,250.15478722929905,90.02314278309011,False,n/a,0
2025-09-03 15:29:24.726487,33,0,POINT (250.15203785018912 90.022702012664),0.0027844863186315,250.15203785018912,90.022702012664,False,n/a,0
2025-09-03 15:29:25.726487,34,0,POINT (250.1492380460459 90.02224680731564),0.0028365674942757,250.1492380460459,90.02224680731564,False,n/a,0
2025-09-03 15:29:26.726487,35,0,POINT (250.1463613945433 90.021753516711),0.0029186400065738,250.1463613945433,90.021753516711,False,n/a,0
2025-09-03 15:29:27.726487,36,0,POINT (250.1432130455888 90.02122312145438),0.0031927136212686,250.1432130455888,90.02122312145438,False,n/a,0
2025-09-03 15:29:28.726487,37,0,POINT (250.13992221070933 90.02069208595451),0.0033334056018159,250.13992221070933,90.02069208595451,False,n/a,0
2025-09-03 15:29:29.726487,38,0,POINT (250.1365715578779 90.02014725755937),0.0033946593904256,250.1365715578779,90.02014725755937,False,n/a,0
2025-09-03 15:29:30.726487,39,0,POINT (250.1331902927084 90.01958691324005),0.0034273809100729,250.1331902927084,90.01958691324005,False,n/a,0
2025-09-03 15:29:31.726487,40,0,POINT (250.12979540023125 90.01902084145725),0.0034417629486312,250.12979540023125,90.01902084145725,False,n/a,0
2025-09-03 15:29:32.726487,41,0,POINT (250.12630451326407 90.01846295204287),0.0035351849196672,250.12630451326407,90.01846295204287,False,n/a,0
2025-09-03 15:29:33.726487,42,0,POINT (250.12271164294555 90.01788082261028),0.0036397241381788,250.12271164294555,90.01788082261028,False,n/a,0
2025-09-03 15:29:34.726487,43,0,POINT (250.11898684841037 90.01729239454492),0.003770986862556,250.11898684841037,90.01729239454492,False,n/a,0
2025-09-03 15:29:35.726487,44,0,POINT (250.1150874886808 90.01666646724486),0.0039492773117682,250.1150874886808,90.01666646724486,False,n/a,0
2025-09-03 15:29:36.726487,45,0,POINT (250.1112599343137 90.01605559362991),0.0038759952278714,250.1112599343137,90.01605559362991,False,n/a,0
2025-09-03 15:29:37.726487,46,0,POINT (250.10734723870132 90.01542997789784),0.003962395992236,250.10734723870132,90.01542997789784,False,n/a,0
2025-09-03 15:29:38.726487,47,0,POINT (250.10331369658573 90.01479505532049),0.0040832081354882,250.10331369658573,90.01479505532049,False,n/a,0
2025-09-03 15:29:39.726487,48,0,POINT (250.09929984141303 90.01417470146768),0.0040615110796495,250.09929984141303,90.01417470146768,False,n/a,0
2025-09-03 15:29:40.726487,49,0,POINT (250.0952129973774 90.01355435705621),0.0041336571411398,250.0952129973774,90.01355435705621,False,n/a,0
2025-09-03 15:29:41.726487,50,0,POINT (250.091240189126 90.01295487094671),0.0040177840904754,250.091240189126,90.01295487094671,False,n/a,0
2025-09-03 15:29:42.726487,51,0,POINT (250.0871962526473 90.01234422464664),0.0040897813080302,250.0871962526473,90.01234422464664,False,n/a,0
2025-09-03 15:29:43.726487,52,0,POINT (250.0831305878869 90.01174756615767),0.0041092129777573,250.0831305878869,90.01174756615767,False,n/a,0
2025-09-03 15:29:44.726487,53,0,POINT (250.07891801672747 90.01113458943877),0.004256935074811,250.07891801672747,90.01113458943877,False,n/a,0
2025-09-03 15:29:45.726487,54,0,POINT (250.07462439348257 90.01050164214088),0.0043400256740131,250.07462439348257,90.01050164214088,False,n/a,0
2025-09-03 15:29:46.726487,55,0,POINT (250.0702260228492 90.00986411503501),0.0044443340377591,250.0702260228492,90.00986411503501,False,n/a,0
2025-09-03 15:29:47.726487,56,0,POINT (250.06581613579203 90.00922551473884),0.0044558853435895,250.06581613579203,90.00922551473884,False,n/a,0
2025-09-03 15:29:48.726487,57,0,POINT (250.06122014239077 90.00853827826792),0.0046470904135512,250.06122014239077,90.00853827826792,False,n/a,0
2025-09-03 15:29:49.726487,58,0,POINT (250.05664497507303 90.00786192212219),0.0046248906604284,250.05664497507303,90.00786192212219,False,n/a,0
2025-09-03 15:29:50.726487,59,0,POINT (250.05204426708184 90.00719160721907),0.0046492833952683,250.05204426708184,90.00719160721907,False,n/a,0
2025-09-03 15:29:51.726487,60,0,POINT (250.04739205932944 90.0065139948071),0.0047012972201678,250.04739205932944,90.0065139948071,False,n/a,0
2025-09-03 15:29:52.726487,61,0,POINT (250.04270893920045 90.00582301189809),0.0047338220840107,250.04270893920045,90.00582301189809,False,n/a,0
2025-09-03 15:29:53.726487,62,0,POINT (250.03808636550917 90.00514336278903),0.004672270373492,250.03808636550917,90.00514336278903,False,n/a,0
2025-09-03 15:29:54.726487,63,0,POINT (250.033400562166 90.00442547948742),0.0047404756517958,250.033400562166,90.00442547948742,False,n/a,0
2025-09-03 15:29:55.726487,64,0,POINT (250.0286124278286 90.00368802626053),0.0048445915921782,250.0286124278286,90.00368802626053,False,n/a,0
2025-09-03 15:29:56.726487,65,0,POINT (250.02379532872183 90.0029627326087),0.0048713955583323,250.02379532872183,90.0029627326087,False,n/a,0
2025-09-03 15:29:57.726487,66,0,POINT (250.01890061279167 90.00223025856397),0.0049492183487081,250.01890061279167,90.00223025856397,False,n/a,0
2025-09-03 15:29:58.726487,67,0,POINT (250.0139534824488 90.00149445704811),0.0050015500097417,250.0139534824488,90.00149445704811,False,n/a,0
2025-09-03 15:29:59.726487,68,0,POINT (250.00891829986665 90.00072444402531),0.0050937200248226,250.00891829986665,90.00072444402531,False,n/a,0
2025-09-03 15:30:00.726487,69,0,POINT (250.0038517215257 89.99996145895996),0.0051237059141391,250.0038517215257,89.99996145895996,False,n/a,0
2025-09-03 15:30:01.726487,70,0,POINT (249.99856543773265 89.99914858674524),0.0053484163617076,249.99856543773265,89.99914858674524,False,n/a,0
2025-09-03 15:30:02.726487,71,0,POINT (249.9931338793984 89.99831986839185),0.0054944153508889,249.9931338793984,89.99831986839185,False,n/a,0
2025-09-03 15:30:03.726487,72,0,POINT (249.9876923619936 89.99751393762925),0.00550087593577,249.9876923619936,89.99751393762925,False,n/a,0
2025-09-03 15:30:04.726487,73,0,POINT (249.98216416374024 89.99667621822911),0.0055913101972159,249.98216416374024,89.99667621822911,False,n/a,0
2025-09-03 15:30:05.726487,74,0,POINT (249.9767133270447 89.99582762258844),0.005516496645763,249.9767133270447,89.99582762258844,False,n/a,0
2025-09-03 15:30:06.726487,75,0,POINT (249.97124031857385 89.99496513930372),0.0055405504364193,249.97124031857385,89.99496513930372,False,n/a,0
2025-09-03 15:30:07.726487,76,0,POINT (249.9656852327801 89.99408439163096),0.0056244728321045,249.9656852327801,89.99408439163096,False,n/a,0
2025-09-03 15:30:08.726487,77,0,POINT (249.9600303875493 89.99319467551422),0.0057244099567226,249.9600303875493,89.99319467551422,False,n/a,0
2025-09-03 15:30:09.726487,78,0,POINT (249.9543755386203 89.99231318315559),0.0057231411993863,249.9543755386203,89.99231318315559,False,n/a,0
2025-09-03 15:30:10.726487,79,0,POINT (249.94867310209327 89.99141887309268),0.0057721376311361,249.94867310209327,89.99141887309268,False,n/a,0
2025-09-03 15:30:11.726487,80,0,POINT (249.9428676937249 89.99051495390768),0.0058753583904965,249.9428676937249,89.99051495390768,False,n/a,0
2025-09-03 15:30:12.726487,81,0,POINT (249.9370271185428 89.98959572889815),0.0059124692875562,249.9370271185428,89.98959572889815,False,n/a,0
2025-09-03 15:30:13.726487,82,0,POINT (249.9312117412988 89.9886726910542),0.005888175553722,249.9312117412988,89.9886726910542,False,n/a,0
2025-09-03 15:30:14.726487,83,0,POINT (249.92534165224345 89.98774927626437),0.0059422756913627,249.92534165224345,89.98774927626437,False,n/a,0
2025-09-03 15:30:15.726487,84,0,POINT (249.91945029351768 89.98682201637169),0.0059638845180117,249.91945029351768,89.98682201637169,False,n/a,0
2025-09-03 15:30:16.726487,85,0,POINT (249.91349347988717 89.9858633176165),0.0060334676540051,249.91349347988717,89.9858633176165,False,n/a,0
2025-09-03 15:30:17.726487,86,0,POINT (249.90751974635225 89.98491695213036),0.0060482311446849,249.90751974635225,89.98491695213036,False,n/a,0
2025-09-03 15:30:18.726487,87,0,POINT (249.901572391354 89.98396573593362),0.0060229431118195,249.901572391354,89.98396573593362,False,n/a,0
2025-09-03 15:30:19.726487,88,0,POINT (249.89551775042085 89.9830105226549),0.0061295276520148,249.89551775042085,89.9830105226549,False,n/a,0
2025-09-03 15:30:20.726487,89,0,POINT (249.88938040444577 89.98203820770001),0.0062138886366971,249.88938040444577,89.98203820770001,False,n/a,0
2025-09-03 15:30:21.726487,90,0,POINT (249.8831626080031 89.98104964365285),0.0062958916348673,249.8831626080031,89.98104964365285,False,n/a,0
2025-09-03 15:30:22.726487,91,0,POINT (249.87693753296364 89.98005963274205),0.0063033071359654,249.87693753296364,89.98005963274205,False,n/a,0
2025-09-03 15:30:23.726487,92,0,POINT (249.8706941628504 89.97906789297743),0.0063216467895206,249.8706941628504,89.97906789297743,False,n/a,0
2025-09-03 15:30:24.726487,93,0,POINT (249.8644383776834 89.97805081102953),0.006337925823529,249.8644383776834,89.97805081102953,False,n/a,0
2025-09-03 15:30:25.726487,94,0,POINT (249.85818008455712 89.9770341509653),0.0063403336300745,249.85818008455712,89.9770341509653,False,n/a,0
2025-09-03 15:30:26.726487,95,0,POINT (249.8518693464995 89.97601179153651),0.0063930144402591,249.8518693464995,89.97601179153651,False,n/a,0
2025-09-03 15:30:27.726487,96,0,POINT (249.8455835963332 89.97499921414311),0.006366786326812,249.8455835963332,89.97499921414311,False,n/a,0
2025-09-03 15:30:28.726487,97,0,POINT (249.83933512909547 89.97399845792906),0.0063281004907111,249.83933512909547,89.97399845792906,False,n/a,0
2025-09-03 15:30:29.726487,98,0,POINT (249.83308879535187 89.97297348947772),0.0063298693164011,249.83308879535187,89.97297348947772,False,n/a,0
2025-09-03 15:30:30.726487,99,0,POINT (249.82681085387225 89.97197839649449),0.0063563164857656,249.82681085387225,89.97197839649449,False,n/a,0
2025-09-03 15:30:31.726487,100,0,POINT (249.82045092387267 89.97096465725649),0.0064402155896998,249.82045092387267,89.97096465725649,False,n/a,0
2025-09-03 15:30:32.726487,101,0,POINT (249.8140793170677 89.96994344709849),0.0064529251866124,249.8140793170677,89.96994344709849,False,n/a,0
2025-09-03 15:30:33.726487,102,0,POINT (249.80774466829476 89.96892015460179),0.0064167673022013,249.80774466829476,89.96892015460179,False,n/a,0
2025-09-03 15:30:34.726487,103,0,POINT (249.80152304251 89.96792048543409),0.0063014256998415,249.80152304251,89.96792048543409,False,n/a,0
2025-09-03 15:30:35.726487,104,0,POINT (249.79531926766504 89.96692080609057),0.0062838030774624,249.79531926766504,89.96692080609057,False,n/a,0
2025-09-03 15:30:36.726487,105,0,POINT (249.78914029248963 89.9659330030037),0.0062574347105397,249.78914029248963,89.9659330030037,False,n/a,0
2025-09-03 15:30:37.726487,106,0,POINT (249.7828555075525 89.96492789101177),0.0063646501728061,249.7828555075525,89.96492789101177,False,n/a,0
2025-09-03 15:30:38.726487,107,0,POINT (249.7765154718794 89.9639132373972),0.0064207144691083,249.7765154718794,89.9639132373972,False,n/a,0
2025-09-03 15:30:39.726487,108,0,POINT (249.77002755707028 89.96285258300205),0.0065740418553919,249.77002755707028,89.96285258300205,False,n/a,0
2025-09-03 15:30:40.726487,109,0,POINT (249.7635167594725 89.96178647197036),0.0065975054445331,249.7635167594725,89.96178647197036,False,n/a,0
2025-09-03 15:30:41.726487,110,0,POINT (249.75699018174856 89.96070252942789),0.0066159767398657,249.75699018174856,89.96070252942789,False,n/a,0
2025-09-03 15:30:42.726487,111,0,POINT (249.7504130504651 89.95961433852877),0.0066665444836642,249.7504130504651,89.95961433852877,False,n/a,0
2025-09-03 15:30:43.726487,112,0,POINT (249.7438753890004 89.95853342057171),0.0066264169094121,249.7438753890004,89.95853342057171,False,n/a,0
2025-09-03 15:30:44.726487,113,0,POINT (249.7373014506816 89.95746445509134),0.0066602816920704,249.7373014506816,89.95746445509134,False,n/a,0
2025-09-03 15:30:45.726487,114,0,POINT (249.73076062250547 89.95639488405669),0.0066277006138943,249.73076062250547,89.95639488405669,False,n/a,0
2025-09-03 15:30:46.726487,115,0,POINT (249.72416148911856 89.95530761100399),0.0066881031802307,249.72416148911856,89.95530761100399,False,n/a,0
2025-09-03 15:30:47.726487,116,0,POINT (249.71764937099763 89.95421742467538),0.0066027409953708,249.71764937099763,89.95421742467538,False,n/a,0
2025-09-03 15:30:48.726487,117,0,POINT (249.71100973427485 89.95308466795548),0.0067355707699477,249.71100973427485,89.95308466795548,False,n/a,0
2025-09-03 15:30:49.726487,118,0,POINT (249.70431422634292 89.95195612883757),0.0067899504421545,249.70431422634292,89.95195612883757,False,n/a,0
2025-09-03 15:30:50.726487,119,0,POINT (249.69755335471717 89.9508100198125),0.0068573282725788,249.69755335471717,89.9508100198125,False,n/a,0
2025-09-03 15:30:51.726487,120,0,POINT (249.69092421940587 89.94968541626058),0.0067238506916892,249.69092421940587,89.94968541626058,False,n/a,0
2025-09-03 15:30:52.726487,121,0,POINT (249.68419491338017 89.9485527980582),0.0068239565927645,249.68419491338017,89.9485527980582,False,n/a,0
2025-09-03 15:30:53.726487,122,0,POINT (249.67734243882464 89.94740862215579),0.0069473409323161,249.67734243882464,89.94740862215579,False,n/a,0
2025-09-03 15:30:54.726487,123,0,POINT (249.6705137057256 89.94626573321028),0.0069237122181745,249.6705137057256,89.94626573321028,False,n/a,0
2025-09-03 15:30:55.726487,124,0,POINT (249.6635726412621 89.94511118601483),0.007036430566165,249.6635726412621,89.94511118601483,False,n/a,0
2025-09-03 15:30:56.726487,125,0,POINT (249.65652709622933 89.94393540423344),0.0071429803028137,249.65652709622933,89.94393540423344,False,n/a,0
2025-09-03 15:30:57.726487,126,0,POINT (249.64975284989717 89.94118218695579),0.007312360682236,249.64975284989717,89.94118218695579,False,n/a,0
2025-09-03 15:30:58.726487,127,0,POINT (249.64320997106947 89.93683963825875),0.0078528334083802,249.64320997106947,89.93683963825875,False,n/a,0
2025-09-03 15:30:59.726487,128,0,POINT (249.63679098584225 89.93088517618935),0.0087555119714996,249.63679098584225,89.93088517618935,False,n/a,0
2025-09-03 15:31:00.726487,129,0,POINT (249.63065024349268 89.92333684176259),0.0097306767093565,249.63065024349268,89.92333684176259,False,n/a,0
