t,Step,AgentID,v,geometry,speed,x,y
2025-10-07 10:28:48.861075,0,1000,0.0,POINT (-4.41235318563063 48.334023209280005),0.5315895131210628,-4.41235318563063,48.334023209280005
2025-10-07 10:28:58.861075,10,1000,0.19000000000000009,POINT (-4.412423837548294 48.334015070920024),0.5315895131210628,-4.412423837548294,48.334015070920024
2025-10-07 10:29:08.861075,20,1000,0.29000000000000015,POINT (-4.412540826268249 48.33399502404424),0.8955685540804927,-4.412540826268249,48.33399502404424
2025-10-07 10:29:18.861075,30,1000,0.39000000000000024,POINT (-4.4126690603303755 48.33392390180049),1.2366877287615519,-4.4126690603303755,48.33392390180049
2025-10-07 10:29:28.861075,40,1000,0.4900000000000003,POINT (-4.412830968335183 48.33382938646613),1.5954893124702552,-4.412830968335183,48.33382938646613
2025-10-07 10:29:38.861075,50,1000,0.5900000000000004,POINT (-4.413072776873843 48.33375174591266),1.9898757403185623,-4.413072776873843,48.33375174591266
2025-10-07 10:29:48.861075,60,1000,0.6900000000000005,POINT (-4.413358953951707 48.33365985938607),2.354993717074863,-4.413358953951707,48.33365985938607
2025-10-07 10:29:58.861075,70,1000,0.7900000000000006,POINT (-4.413689499568774 48.333553726886365),2.7201132880189904,-4.413689499568774,48.333553726886365
2025-10-07 10:30:08.861075,80,1000,0.13000000000000003,POINT (-4.413929533365866 48.33347665617181),1.9752797638781658,-4.413929533365866,48.33347665617181
2025-10-07 10:30:18.861075,90,1000,0.2109209944779047,POINT (-4.414009075640578 48.33345111651855),0.6545677118054758,-4.414009075640578,48.33345111651855
2025-10-07 10:30:28.861075,100,1000,0.3109209944779048,POINT (-4.414127060901264 48.333413233485174),0.9709224582221381,-4.414127060901264,48.333413233485174
2025-10-07 10:30:38.861075,110,1000,0.1654932089726433,POINT (-4.414278525428831 48.33336460083631),1.246430370786418,-4.414278525428831,48.33336460083631
2025-10-07 10:30:48.861075,120,1000,0.2654932089726434,POINT (-4.414376355044695 48.33333318943304),0.8050590037784275,-4.414376355044695,48.33333318943304
2025-10-07 10:30:58.861075,130,1000,0.3654932089726435,POINT (-4.414518952926079 48.333288087298804),1.170188647162565,-4.414518952926079,48.333288087298804
2025-10-07 10:31:08.861075,140,1000,0.46549320897264357,POINT (-4.414714193204434 48.33324110654868),1.5389600193825608,-4.414714193204434,48.33324110654868
2025-10-07 10:31:18.861075,150,1000,0.5654932089726437,POINT (-4.4149532216768215 48.333178714429394),1.9032003818037118,-4.4149532216768215,48.333178714429394
2025-10-07 10:31:28.861075,160,1000,0.6654932089726437,POINT (-4.415235311552718 48.33309974540955),2.268374081839922,-4.415235311552718,48.33309974540955
2025-10-07 10:31:38.861075,170,1000,0.7654932089726438,POINT (-4.415544290619245 48.33298516684718),2.621342776712091,-4.415544290619245,48.33298516684718
2025-10-07 10:31:48.861075,180,1000,0.19682810798202133,POINT (-4.4157709687664894 48.33288583882883),2.0111189385442843,-4.4157709687664894,48.33288583882883
2025-10-07 10:31:58.861075,190,1000,0.2968281079820214,POINT (-4.415872635633008 48.33283911701852),0.9154923880820812,-4.415872635633008,48.33283911701852
2025-10-07 10:32:08.861075,200,1000,0.3968281079820215,POINT (-4.416014674032051 48.332773842152044),1.2790319374552255,-4.416014674032051,48.332773842152044
2025-10-07 10:32:18.861075,210,1000,0.4968281079820216,POINT (-4.416194079602624 48.33268743334261),1.6409181646951496,-4.416194079602624,48.33268743334261
2025-10-07 10:32:28.861075,220,1000,0.5968281079820217,POINT (-4.416381726822816 48.332559850679),1.98704815723756,-4.416381726822816,48.332559850679
2025-10-07 10:32:38.861075,230,1000,0.6968281079820218,POINT (-4.416587447396658 48.33239905133608),2.350242003781258,-4.416587447396658,48.33239905133608
2025-10-07 10:32:48.861075,240,1000,0.7968281079820219,POINT (-4.416824728526318 48.332213583013576),2.7108074446801127,-4.416824728526318,48.332213583013576
2025-10-07 10:32:58.861075,250,1000,0.896828107982022,POINT (-4.417093570211792 48.332003445711486),3.071374517074447,-4.417093570211792,48.332003445711486
2025-10-07 10:33:08.861075,260,1000,0.996828107982022,POINT (-4.417393972453082 48.331768639429804),3.431943438847548,-4.417393972453082,48.331768639429804
2025-10-07 10:33:18.861075,270,1000,1.0968281079820221,POINT (-4.417725935250189 48.33150916416853),3.7925144266094994,-4.417725935250189,48.33150916416853
2025-10-07 10:33:28.861075,280,1000,0.9748018393792857,POINT (-4.418075444058225 48.331235974250646),3.992977767259332,-4.418075444058225,48.331235974250646
2025-10-07 10:33:38.861075,290,1000,1.0748018393792858,POINT (-4.418416725043239 48.33099108738795),3.7173118220331274,-4.418416725043239,48.33099108738795
2025-10-07 10:33:48.861075,300,1000,0.28580179281354856,POINT (-4.418608166479823 48.33084641483858),2.1454304545433205,-4.418608166479823,48.33084641483858
2025-10-07 10:33:58.861075,310,1000,0.38580179281354865,POINT (-4.418664101129803 48.330743572995644),1.216452169646117,-4.418664101129803,48.330743572995644
2025-10-07 10:34:08.861075,320,1000,0.48580179281354874,POINT (-4.418780547603812 48.33062611100708),1.5657235042273072,-4.418780547603812,48.33062611100708
2025-10-07 10:34:18.861075,330,1000,0.17000000000000007,POINT (-4.418854195664419 48.33057947621456),0.7530686418577344,-4.418854195664419,48.33057947621456
2025-10-07 10:34:28.861075,340,1000,0.27000000000000013,POINT (-4.418943684012639 48.33053723024608),0.8129891803997257,-4.418943684012639,48.33053723024608
2025-10-07 10:34:38.861075,350,1000,0.3700000000000002,POINT (-4.419083932125032 48.33048612047151),1.1850706860708038,-4.419083932125032,48.33048612047151
2025-10-07 10:34:48.861075,360,1000,0.4700000000000003,POINT (-4.419267333502777 48.33041928461247),1.549709192440843,-4.419267333502777,48.33041928461247
2025-10-07 10:34:58.861075,370,1000,0.5700000000000004,POINT (-4.419489122797474 48.33033197454323),1.9097118179187285,-4.419489122797474,48.33033197454323
2025-10-07 10:35:08.861075,380,1000,0.6700000000000005,POINT (-4.419663291553942 48.330169330076956),2.2223051906041724,-4.419663291553942,48.330169330076956
2025-10-07 10:35:18.861075,390,1000,0.3934828515815143,POINT (-4.419763959140661 48.33001166023351),1.9055181844881826,-4.419763959140661,48.33001166023351
2025-10-07 10:35:28.861075,400,1000,0.4934828515815144,POINT (-4.419914700012901 48.329906514448204),1.6174948381079095,-4.419914700012901,48.329906514448204
2025-10-07 10:35:38.861075,410,1000,0.5934828515815145,POINT (-4.420043874760487 48.329752198285014),1.9651639979605506,-4.420043874760487,48.329752198285014
2025-10-07 10:35:48.861075,420,1000,0.6934828515815146,POINT (-4.420232409536528 48.32958634206596),2.314219860235125,-4.420232409536528,48.32958634206596
2025-10-07 10:35:58.861075,430,1000,0.7934828515815147,POINT (-4.420511773381055 48.329428856972804),2.712481439414142,-4.420511773381055,48.329428856972804
2025-10-07 10:36:08.861075,440,1000,0.5427036922591171,POINT (-4.420812219617365 48.329338573932766),2.443534466679967,-4.420812219617365,48.329338573932766
2025-10-07 10:36:18.861075,450,1000,0.379591008792052,POINT (-4.420977779296189 48.32929606144514),1.3154842229992953,-4.420977779296189,48.32929606144514
2025-10-07 10:36:28.861075,460,1000,0.4795910087920521,POINT (-4.421165319507407 48.32922771729595),1.5847099370766484,-4.421165319507407,48.32922771729595
2025-10-07 10:36:38.861075,470,1000,0.5795910087920522,POINT (-4.421389536820474 48.329136668496496),1.9465655069535834,-4.421389536820474,48.329136668496496
2025-10-07 10:36:48.861075,480,1000,0.6795910087920523,POINT (-4.421654920948915 48.32902775305946),2.310638730138121,-4.421654920948915,48.32902775305946
2025-10-07 10:36:58.861075,490,1000,0.7795910087920523,POINT (-4.421956624670492 48.328896395508295),2.6717466469715774,-4.421956624670492,48.328896395508295
2025-10-07 10:37:08.861075,500,1000,0.26851803065200963,POINT (-4.422219551993216 48.32877556518354),2.3677404874327035,-4.422219551993216,48.32877556518354
2025-10-07 10:37:18.861075,510,1000,0.3369980126454646,POINT (-4.42234888866875 48.328716127494275),1.1647174753062548,-4.42234888866875,48.328716127494275
2025-10-07 10:37:28.861075,520,1000,0.4369980126454647,POINT (-4.4225071442739186 48.32864339988283),1.4251427824359864,-4.4225071442739186,48.32864339988283
